deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,COLOR,1787124604757908,1787124604760770,1787124604777106,68,,1787124604760661,1787124604760072,-700,-590
0,COLOR,1787124604791246,1787124604794109,1787124604809975,69,,1787124604794000,1787124604793405,-700,-600
0,COLOR,1787124604824581,1787124604827445,1787124604843745,70,,1787124604827334,1787124604826733,-710,-600
0,COLOR,1787124604857918,1787124604860783,1787124604876994,71,,1787124604860670,1787124604860064,-720,-610
0,COLOR,1787124604891248,1787124604894114,1787124604910672,72,,1787124604894000,1787124604893388,-730,-620
0,COLOR,1787124604924591,1787124604927458,1787124604943603,73,,1787124604927342,1787124604926725,-730,-620
0,COLOR,1787124604957914,1787124604960782,1787124604977113,74,,1787124604960666,1787124604960043,-740,-620
0,COLOR,1787124604991256,1787124604994125,1787124605010520,75,,1787124604994006,1787124604993378,-750,-630
0,COLOR,1787124605024590,1787124605027460,1787124605043754,76,,1787124605027341,1787124605026706,-760,-640
0,COLOR,1787124605057918,1787124605060788,1787124605076907,77,,1787124605060668,1787124605060029,-760,-640
0,COLOR,1787124605091249,1787124605094120,1787124605109987,78,,1787124605093997,1787124605093352,-770,-640
0,COLOR,1787124605124591,1787124605127463,1787124605143281,79,,1787124605127340,1787124605127072,-390,-270
0,COLOR,1787124605157910,1787124605160783,1787124605176917,80,,1787124605160658,1787124605160386,-400,-270
0,COLOR,1787124605157910,1787124605161029,1787124605210401,81,,1787124605194043,1787124605193721,32700,-320
0,COLOR,1787124605191249,1787124605194370,1787124605243753,82,,1787124605227379,1787124605227055,32680,-320
0,COLOR,1787124605257919,1787124605261044,1787124605277292,83,,1787124605260712,1787124605260383,-660,-330
0,COLOR,1787124605291253,1787124605294380,1787124605310424,84,,1787124605294046,1787124605293713,-670,-330
0,COLOR,1787124605324587,1787124605327716,1787124605343688,85,,1787124605327379,1787124605327043,-670,-330
0,COLOR,1787124605357921,1787124605361053,1787124605377197,86,,1787124605360713,1787124605360373,-680,-340
0,COLOR,1787124605391261,1787124605394395,1787124605410452,87,,1787124605394054,1787124605393709,-690,-350
0,COLOR,1787124605424591,1787124605427727,1787124605443511,88,,1787124605427383,1787124605427035,-690,-350
0,COLOR,1787124605457921,1787124605461059,1787124605476690,89,,1787124605460713,1787124605460361,-690,-350
0,COLOR,1787124605491253,1787124605494393,1787124605509919,90,,1787124605494044,1787124605493689,-710,-360
0,COLOR,1787124605524591,1787124605527733,1787124605543310,91,,1787124605527382,1787124605527024,-710,-360
0,COLOR,1787124605557921,1787124605561065,1787124605576687,92,,1787124605560712,1787124605560349,-720,-370
0,COLOR,1787124605591254,1787124605594400,1787124605609975,93,,1787124605594045,1787124605593678,-730,-370
0,COLOR,1787124605624583,1787124605627731,1787124605643609,94,,1787124605627373,1787124605627002,-730,-370
0,COLOR,1787124605657923,1787124605661074,1787124605676532,95,,1787124605660713,1787124605660338,-740,-380
0,COLOR,1787124605691247,1787124605694400,1787124605710043,96,,1787124605694037,1787124605693658,-750,-380
